[34628:35004:0504/120620.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[46896:4584:0504/121012.530:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #300).
[46896:4584:0504/121012.548:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #300).
[46896:4584:0504/121012.565:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #300).
[46896:4584:0504/121012.581:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #300).
[46896:4584:0504/121012.647:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #303).
[46896:4584:0504/121012.664:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #303).
[46896:4584:0504/121012.680:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #303).
[46896:4584:0504/121012.716:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #304).
[46896:4584:0504/121012.731:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #304).
[46896:4584:0504/121012.749:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #304).
[46896:4584:0504/121012.764:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #304).
[46896:4584:0504/121012.781:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #304).
[46896:4584:0504/121012.797:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #304).
[46896:4584:0504/121012.831:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #305).
[46896:4584:0504/121012.847:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #305).
[46896:4584:0504/121012.865:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #305).
[46896:4584:0504/121013.015:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #308).
[46896:4584:0504/121013.033:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #308).
[46896:4584:0504/121013.050:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #308).
[46896:4584:0504/121013.065:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #308).
[46896:4584:0504/121013.099:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #309).
[46896:4584:0504/121013.116:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #309).
[46896:4584:0504/121013.149:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
[46896:4584:0504/121013.165:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
[46896:4584:0504/121013.183:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
[46896:4584:0504/121013.199:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
